baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Oarb_100001_c0_g1	31.1084009224511	0.302684776589632	0.438926384068226	0.689602602113302	0.490444130560284	0.953485574964181
Oarb_100009_c0_g1	6.21493040166392	-0.245564212107497	0.814638305332527	-0.301439559740885	0.763079331986179	0.980479847121801
Oarb_100012_c0_g1	59.0750341242858	-0.223434455584329	0.344238369301598	-0.649069004241568	0.516293775314651	0.955622757100383
Oarb_100015_c0_g1	3.58759191695653	-1.58461946919658	1.11977423928963	-1.41512406125885	0.15703212459453	0.928368585769397
Oarb_100023_c0_g1	16.8154710356357	0.837789125679323	0.553373679417729	1.51396634288942	0.130034376070345	0.928368585769397
Oarb_100037_c0_g1	3.94407165968133	1.17879293871815	1.22019847927184	0.966066552895239	0.334010879764706	0.940089017601718
Oarb_100039_c1_g2	5.09236256501461	0.233283329564019	1.17758642846411	0.198102936587239	0.842964527303131	0.985893394114068
Oarb_100054_c0_g1	37.8299478634057	0.168503225305993	0.45023301926668	0.374257813388372	0.708212515167647	0.971887586150895
Oarb_100054_c2_g1	36.3194352479638	6.69753236947398	0.904584995473552	7.403983487442	1.32158865006083e-13	1.76870295756562e-10
Oarb_100054_c2_g4	70.2365914704952	6.50034021946515	0.743201201473408	8.74640703833381	2.2025356780547e-18	1.1201215444315e-14
Oarb_100054_c2_g6	32.4335568107443	6.04009094362565	0.809878124408446	7.45802456145791	8.78293004532441e-14	1.39582715745318e-10
Oarb_100058_c0_g1	11.9288236629482	-0.570807191071964	0.716112952666176	-0.797091002120237	0.425398181691515	0.951550336791374
Oarb_100059_c0_g1	5.40313766834977	0.0340506806606233	0.901783278614731	0.0377592726191708	0.969879616939656	0.998708143660062
Oarb_100078_c0_g1	20.4129772887162	0.325953300300134	0.480898652284462	0.677800402957515	0.497898255538168	0.95459107762577
Oarb_100106_c0_g1	4.24703274059338	0.177006876185415	0.986305055268647	0.179464634435238	0.85757288410813	0.986445458115513
Oarb_100107_c0_g1	8.9412024753177	-0.138783059961031	0.636690462455718	-0.217975716843227	0.82744803166608	0.985893394114068
Oarb_100115_c0_g1	47.4717495078986	-0.0200771429364697	0.325980224586561	-0.061590064127152	0.950889289599404	0.997413517381468
Oarb_100118_c0_g1	129.506742401624	0.609521586783362	0.313002651621351	1.9473368152827	0.0514943677393743	0.877550835459874
Oarb_100120_c1_g1	31.4407551525621	-0.38284634990124	0.430085076604411	-0.890164227328862	0.373377709865804	0.946932318692108
Oarb_100138_c0_g1	25.7699528918102	0.298606877813616	0.432096832076218	0.691064723568592	0.489524867774222	0.953485574964181
Oarb_100145_c0_g3	10.5804244693258	-1.3817688127603	0.619293001879004	-2.23120366057401	0.025667641617064	0.739996361721884
Oarb_100172_c0_g1	142.334292841079	-0.631679829158686	0.296296721126286	-2.13191636666628	0.0330137224952545	0.798481515601531
Oarb_100175_c1_g1	17.4147614438055	0.00335418773198227	0.517226676230842	0.00648494728931049	0.99482579694672	0.999718064205628
Oarb_100175_c1_g2	6.63547659392453	-0.402506488688868	0.75486528660326	-0.533216317973854	0.593883846976123	0.962078035781618
Oarb_100181_c0_g1	21.0428794288697	-0.104206068751302	0.533753715726622	-0.195232493340945	0.845210942458483	0.985893394114068
Oarb_100181_c1_g1	29.3798920063889	-0.122256212264627	0.466299015928831	-0.262184152417955	0.793179470694983	0.983356200459612
Oarb_100183_c0_g1	11.543807922362	1.78071121627497	3.01002989581941	0.591592534927369	0.55412347393678	0.960488454639585
Oarb_100188_c0_g1	63.3008673635566	-0.149646620970353	0.335153100378142	-0.446502272548014	0.655234471401484	0.964462278604427
Oarb_100193_c0_g1	15.92910730212	0.176131674653886	0.550097946481326	0.320182388937285	0.748830072639113	0.97875804800017
Oarb_100202_c0_g1	6.13035373924126	0.731768967680512	0.811917277323377	0.901285128569886	0.367436738724916	0.945888654838411
Oarb_100214_c0_g1	43.8214570713241	-0.256331667020422	0.38943084988557	-0.658221265972489	0.510395961752768	0.955503010931825
Oarb_100218_c0_g1	47.5673646178939	0.0922321311190973	0.318224588568231	0.289833452323945	0.771943654504277	0.98189101329272
Oarb_100222_c0_g1	8.0353902373985	1.52236189053809	3.0208636796659	0.503949218491867	0.614297062528691	0.963975839403436
Oarb_100229_c0_g1	4.49187559915274	-0.0599347797638229	0.875249064307909	-0.068477399414549	0.945405610492389	0.997413517381468
Oarb_100239_c0_g1	12.5567200921916	0.0293584947641238	0.532700786537725	0.0551125425493335	0.95604880382322	0.997413517381468
Oarb_100248_c1_g1	18.8210677942096	0.900290443361331	0.59085538102246	1.52370693790315	0.127581935575427	0.928368585769397
Oarb_100254_c0_g1	43.9866107912375	0.33062952350657	0.411626865716803	0.803226297998831	0.421843948094594	0.951550336791374
Oarb_100266_c0_g1	3.77589703287157	-1.18646340305093	1.17965647664926	-1.00577026154343	0.314526095723068	0.938485650713322
Oarb_100268_c0_g1	19.1368554515492	0.496963313345426	0.545390013126255	0.911207212058689	0.362186204744419	0.945584674234043
Oarb_100277_c0_g1	14.9586302849817	-0.121718281881945	0.588590165818689	-0.206796322722523	0.836168928122127	0.985893394114068
Oarb_100283_c0_g1	31.9185950895743	0.353269456447127	0.420703742216864	0.839710753666231	0.401070583060997	0.950937230798271
Oarb_100298_c1_g2	19.6049704982502	0.27796354408712	0.517029514037859	0.537616396240712	0.590841908213892	0.962009746674047
Oarb_100302_c1_g1	31.4157253343389	-0.314611788983785	0.530550232502127	-0.592991520331723	0.553186827183944	0.960488454639585
Oarb_100314_c0_g1	19.8421468907717	-0.214341402636543	0.554200968407639	-0.386757538970747	0.6989357145655	0.970571830277811
Oarb_100328_c1_g1	17.6170783383883	1.82147027680125	3.00199297818899	0.606753676652532	0.544014394319981	0.959606493940273
Oarb_100337_c0_g1	21.6452247570809	-0.294695648294317	0.727541653719691	-0.405056737009669	0.685435806347484	0.967685980298676
Oarb_100343_c0_g1	6.50157845695789	-0.20243166171187	0.816075925713687	-0.248054936230151	0.8040919017523	0.984877621210338
Oarb_100352_c0_g1	17.8352147823786	0.317385035210091	0.525615894450204	0.603834546407842	0.545953648880663	0.959621397739921
Oarb_100364_c0_g1	24.0019845963957	0.302893037549961	0.468632841683495	0.646333356539549	0.518063489903587	0.955622757100383
Oarb_100389_c0_g1	20.1308757157845	-0.682027025163509	0.536870765936471	-1.27037467568911	0.203951199543687	0.928368585769397
Oarb_100397_c0_g1	35.679526166843	0.623149691146164	0.47140468012171	1.32189967012053	0.186201562295211	0.928368585769397
Oarb_100414_c0_g1	13.0598891863731	-0.232815992844521	0.699844457582976	-0.332668195513883	0.73938475969744	0.977486043970777
Oarb_100457_c0_g1	40.34286462751	0.168056871334916	0.498572340347888	0.33707620285885	0.736059456118839	0.977021350730372
Oarb_100462_c0_g1	3.35150093548043	-0.0162897271532926	1.21655366414241	-0.0133900604908997	0.989316596711568	0.999631972212366
Oarb_100465_c0_g1	7.88617151005997	0.217826787641602	0.918908801373374	0.237049408293885	0.812618460115191	0.985400056342767
Oarb_100473_c0_g1	13.8438184891347	0.0496895501512635	0.65096907045227	0.0763316606067643	0.939155237792152	0.997119209276519
Oarb_100478_c0_g1	29.1753699270662	0.110179277597495	0.572874598866175	0.19232704297862	0.847486036566941	0.985893394114068
Oarb_100484_c0_g1	18.7839148381873	-0.124392719472089	0.58060913922202	-0.214245197102421	0.830355852058254	0.985893394114068
Oarb_100494_c2_g1	10.0759015903851	0.333660421124847	0.726106853954677	0.459519724001495	0.645860991356388	0.964462278604427
