contig	Terminos_GO
35	Oarb_74349_c0_g1	GO:0005737;GO:0030139;GO:0005768;GO:0005615;GO:0005634;GO:0005886;GO:0046872;GO:0016015;GO:0008233;GO:0021960;GO:0001746;GO:0045168;GO:0035231;GO:0007427;GO:0035224;GO:0008347;GO:0007506;GO:0060914;GO:0007442;GO:0007476;GO:0016539;GO:0035217;GO:0016335;GO:0002385;GO:0031397;GO:0045861;GO:0007280;GO:0046824;GO:2000010;GO:0007458;GO:0016540;GO:2000274;GO:0007346;GO:0007367;GO:0007224;GO:0035277;GO:0035154;GO:0007418;GO:0035222
36	Oarb_84806_c0_g2	GO:0005634;GO:0005525;GO:0003924;GO:0006913;GO:0015031
37	Oarb_88745_c0_g1	GO:0005737;GO:0005829;GO:0030016;GO:0005634;GO:0005886;GO:0032991;GO:0030315;GO:0030018;GO:0005509;GO:0004198;GO:0003824;GO:0055103;GO:0008233;GO:0032947;GO:0031402;GO:0008307;GO:0031432;GO:1990092;GO:0071277;GO:0071472;GO:0061061;GO:0030239;GO:0043066;GO:0033234;GO:0045892;GO:0051092;GO:0045862;GO:0051281;GO:0014718;GO:0045893;GO:0072657;GO:0065003;GO:0006508;GO:0050790;GO:0043122;GO:0051592;GO:0014850;GO:0045214;GO:0097264
38	Oarb_89059_c0_g2	GO:0022627;GO:0042788;GO:0005791;GO:0003735;GO:0002181
39	Oarb_91415_c0_g1	GO:0031305;GO:0005739;GO:0005634;GO:0004609;GO:0006646;GO:0016540
40	Oarb_100054_c2_g2	GO:0005509;GO:0007049;GO:0051301
41	Oarb_100054_c2_g3	GO:0005509;GO:0007049;GO:0051301
42	Oarb_137652_c2_g2	GO:0005739;GO:0016363;GO:0016607;GO:0005654;GO:0005634;GO:0032991;GO:0034039;GO:0140078;GO:0003684;GO:0003677;GO:0019104;GO:0008017;GO:0000702;GO:0032357;GO:0008534;GO:0002526;GO:0007568;GO:0006284;GO:0006285;GO:0071276;GO:0006974;GO:0006281;GO:0043066;GO:1901291;GO:0033683;GO:0006355;GO:0032355;GO:0045471;GO:0051593;GO:0009416;GO:0006979;GO:0009314
43	Oarb_54904_c0_g1	GO:0031234;GO:0005887;GO:0005886;GO:0051990;GO:0004458;GO:0009055;GO:0071949;GO:0050660;GO:0016901;GO:0048038;GO:0009060;GO:0009061;GO:0019516;GO:0022904;GO:0055085
44	Oarb_80675_c0_g1	GO:0005930;GO:0005737;GO:0005829;GO:0031514;GO:0097224;GO:0036126;GO:0051087;GO:0051082;GO:1904158;GO:0051085
45	Oarb_83610_c0_g2	GO:0005887;GO:0005242;GO:0005267;GO:0005249;GO:0071805;GO:0006813;GO:0051291;GO:0034765;GO:0042391
