baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Oarb_100001_c0_g1	31.1084009224511	0.344104068645216	0.851362200407011	0.404180580815909	0.686079932676192	0.999986237181954
Oarb_100009_c0_g1	6.21493040166392	-0.130977025977107	0.828657958259518	-0.158059214506557	0.874410138656817	0.999986237181954
Oarb_100012_c0_g1	59.0750341242858	-0.288120726681775	0.41818533840095	-0.688978546649881	0.4908367681956	0.999986237181954
Oarb_100015_c0_g1	3.58759191695653	-1.27788744098515	1.14471569305429	-1.11633609003432	0.264278298833818	0.999986237181954
Oarb_100023_c0_g1	16.8154710356357	0.725173331165347	0.752497711622284	0.963688420529507	0.335202161490824	0.999986237181954
Oarb_100037_c0_g1	3.94407165968133	0.457144737754629	1.29618975738775	0.352683498036527	0.724325732058012	0.999986237181954
Oarb_100039_c1_g2	5.09236256501461	0.0907695733297802	1.69850615425268	0.0534408268716091	0.957380676531235	0.999986237181954
Oarb_100054_c0_g1	37.8299478634057	0.303691555707607	0.70814194048691	0.428856897670533	0.668027369132032	0.999986237181954
Oarb_100054_c2_g1	36.3194352479638	6.41399240769097	1.00043479258291	6.41120486336886	1.44374033247007e-10	2.11397555034383e-07
Oarb_100054_c2_g4	70.2365914704952	6.25489459270576	0.874645808650938	7.15134575715096	8.59312405275009e-13	2.98181030144335e-09
Oarb_100054_c2_g6	32.4335568107443	5.94142905822605	0.993626164104943	5.97954167559394	2.23766309663152e-09	2.93157420007114e-06
Oarb_100058_c0_g1	11.9288236629482	-0.429482390405629	1.15498757729822	-0.371850224926477	0.710004366585831	0.999986237181954
Oarb_100059_c0_g1	5.40313766834977	0.118130607409813	0.872107029867907	0.135454254310627	0.892252730609407	0.999986237181954
Oarb_100078_c0_g1	20.4129772887162	0.340369632315778	0.69363351013879	0.490705289379217	0.623634904890931	0.999986237181954
Oarb_100106_c0_g1	4.24703274059338	0.349108165155368	0.916619889243958	0.380864706572446	0.703303642279283	0.999986237181954
Oarb_100107_c0_g1	8.9412024753177	-0.24770367930776	0.609398221203555	-0.406472599835536	0.684395385584942	0.999986237181954
Oarb_100115_c0_g1	47.4717495078986	0.0426882997775913	0.350682213024108	0.12172929847074	0.903113408958641	0.999986237181954
Oarb_100118_c0_g1	129.506742401624	0.788626951227333	0.6847950996832	1.15162469999007	0.249475327011276	0.999986237181954
Oarb_100120_c1_g1	31.4407551525621	-0.4838968986656	0.456279563702644	-1.06052722313234	0.288904811844298	0.999986237181954
Oarb_100138_c0_g1	25.7699528918102	0.238646256017181	0.743370424037453	0.321032756080107	0.748185567883247	0.999986237181954
Oarb_100145_c0_g3	10.5804244693258	-1.45714196502058	0.558794687459065	-2.60765178646642	0.00911656417082008	0.999986237181954
Oarb_100172_c0_g1	142.334292841079	-0.704975794179788	0.411349800726179	-1.71381095343976	0.0865634510793256	0.999986237181954
Oarb_100175_c1_g1	17.4147614438055	-0.144109019836095	0.648011639140351	-0.222386468285151	0.824013044844289	0.999986237181954
Oarb_100175_c1_g2	6.63547659392453	-0.27796650721858	0.816733308550646	-0.340339379217743	0.733600964902838	0.999986237181954
Oarb_100181_c0_g1	21.0428794288697	-0.471986894911257	0.648583031908847	-0.727720078525877	0.46678495675181	0.999986237181954
Oarb_100181_c1_g1	29.3798920063889	-0.431201851799722	0.887197645210614	-0.486026821788236	0.626948149220145	0.999986237181954
Oarb_100183_c0_g1	11.543807922362	0.263439863780151	2.25598897825338	0.116773559764512	0.907039496630094	0.999986237181954
Oarb_100188_c0_g1	63.3008673635566	-0.0560074218122775	0.370786579020026	-0.151050294108009	0.87993604204802	0.999986237181954
Oarb_100193_c0_g1	15.92910730212	0.371116609590778	0.584708866937791	0.634703235362878	0.525621983161193	0.999986237181954
Oarb_100202_c0_g1	6.13035373924126	0.781741149110428	0.834916013764141	0.936311121385756	0.349113023731805	0.999986237181954
Oarb_100214_c0_g1	43.8214570713241	-0.112282026597577	0.45716749172186	-0.245603698055348	0.805989026275021	0.999986237181954
Oarb_100218_c0_g1	47.5673646178939	0.125338438321717	0.332214498399974	0.377281662676907	0.705964298093094	0.999986237181954
Oarb_100222_c0_g1	8.0353902373985	-0.652071533942657	2.32763299327444	-0.280143620504942	NA	NA
Oarb_100229_c0_g1	4.49187559915274	-0.0130262791945166	0.820713491679522	-0.0158718960107008	0.987336590912805	0.999986237181954
Oarb_100239_c0_g1	12.5567200921916	0.0176883385971514	0.443319817103397	0.0398997245661722	0.968173070694032	0.999986237181954
Oarb_100248_c1_g1	18.8210677942096	0.810448896228135	0.688145687248075	1.17772865723995	0.238904798429903	0.999986237181954
Oarb_100254_c0_g1	43.9866107912375	0.487554674716403	0.661983315156053	0.736505986712775	0.461422825571952	0.999986237181954
Oarb_100266_c0_g1	3.77589703287157	-1.02298602670256	1.24207055950043	-0.823613456480295	0.410159227505067	0.999986237181954
Oarb_100268_c0_g1	19.1368554515492	0.550706425953406	0.643682895758854	0.8555554755019	0.392243706765151	0.999986237181954
Oarb_100277_c0_g1	14.9586302849817	-0.340256537096995	0.877726615379441	-0.387656624665417	0.698270158880169	0.999986237181954
Oarb_100283_c0_g1	31.9185950895743	0.325404805524795	1.05399083225197	0.30873589747411	0.757522434666628	0.999986237181954
Oarb_100298_c1_g2	19.6049704982502	0.408541757336673	0.613255758298415	0.666184951072035	0.505292890677687	0.999986237181954
Oarb_100302_c1_g1	31.4157253343389	-0.518478275365905	0.582069201464192	-0.890750230490937	0.3730631807054	0.999986237181954
Oarb_100314_c0_g1	19.8421468907717	-0.537317502151747	0.859572440211043	-0.62509856879523	0.53190636722756	0.999986237181954
Oarb_100328_c1_g1	17.6170783383883	0.626525374830558	2.89400024270277	0.216491127259005	0.828604940604057	0.999986237181954
Oarb_100337_c0_g1	21.6452247570809	-0.27714145863957	0.993549734786726	-0.278940700134212	0.780290333462119	0.999986237181954
Oarb_100343_c0_g1	6.50157845695789	-0.14993227102787	0.942929948567685	-0.159006797117451	0.873663518641046	0.999986237181954
Oarb_100352_c0_g1	17.8352147823786	0.320254251601431	0.45649917989157	0.701543980161146	0.482963597946535	0.999986237181954
Oarb_100364_c0_g1	24.0019845963957	0.200466267706014	0.736629957009987	0.272139716554178	0.785514592145934	0.999986237181954
Oarb_100389_c0_g1	20.1308757157845	-0.731876760726013	0.52543318140572	-1.39290167927344	0.163649524571119	0.999986237181954
Oarb_100397_c0_g1	35.679526166843	0.725697579851896	0.592407505563588	1.22499727474165	0.220576247319951	0.999986237181954
Oarb_100414_c0_g1	13.0598891863731	-0.0751825723711432	1.24949343766413	-0.0601704419606185	0.952019886944907	0.999986237181954
Oarb_100457_c0_g1	40.34286462751	0.608665102276576	0.86980573588286	0.699771313486196	0.484070132403472	0.999986237181954
Oarb_100462_c0_g1	3.35150093548043	-0.36575521382678	1.29840246703825	-0.28169633308006	0.77817636645374	0.999986237181954
Oarb_100465_c0_g1	7.88617151005997	0.154302247831719	1.32440043710511	0.11650724622909	0.907250543548714	0.999986237181954
Oarb_100473_c0_g1	13.8438184891347	0.238159430667531	1.07421605088673	0.221705336157413	0.824543275836062	0.999986237181954
Oarb_100478_c0_g1	29.1753699270662	0.118383119705098	0.625718895613894	0.189195372770312	0.849939694167502	0.999986237181954
Oarb_100484_c0_g1	18.7839148381873	0.0396121722482121	0.663484742880963	0.0597032149921177	0.952392011111636	0.999986237181954
Oarb_100494_c2_g1	10.0759015903851	0.392685995411528	0.961220983413159	0.408528321986018	0.68288584193686	0.999986237181954
Oarb_100496_c0_g1	18.48121348947	-0.763701421951927	0.524066475573499	-1.45726059106564	0.145044460773519	0.999986237181954
Oarb_100497_c0_g1	34.4640806089924	0.523884710254729	0.829532878270761	0.631541827910204	0.527686308896511	0.999986237181954
Oarb_100499_c0_g5	3.76134659119877	1.00117731349327	1.82817544624703	0.547637435755159	0.58394087912081	0.999986237181954
Oarb_100510_c0_g1	88.4379576314252	-0.152634319003241	0.301996757732317	-0.505417078479142	0.613265926031384	0.999986237181954
Oarb_100516_c0_g1	3.30673397585029	-0.339986368224079	0.875520900905392	-0.388324673771343	0.697775780121027	0.999986237181954
Oarb_100516_c1_g2	23.4229234426847	-0.401156814740601	0.428905597206628	-0.935303286674855	0.349632021995897	0.999986237181954
Oarb_100535_c0_g1	286.185280132134	-0.258696370580533	1.03079438070531	-0.250967967446158	0.801838875017891	0.999986237181954
Oarb_100544_c0_g2	1076.08312912827	0.296989342267579	0.382625355095887	0.776188347981153	0.437637784932418	0.999986237181954
Oarb_100545_c0_g1	8.68681504636459	0.703953196556341	1.11780859057253	0.629761841600968	0.52885041485214	0.999986237181954
Oarb_100547_c0_g1	136.155912165814	0.0963972019093691	0.642840048368452	0.149955190492609	0.880799968227302	0.999986237181954
Oarb_100551_c0_g1	22.5152641703766	0.290426755333116	0.659478330194862	0.440388625426556	0.65965566174558	0.999986237181954
Oarb_100562_c0_g1	60.1969615690008	-0.162024293220971	0.755671931135159	-0.214410892538486	0.830226648158912	0.999986237181954
Oarb_100563_c0_g1	12.1713683347286	0.788131029743352	2.2485843633322	0.350500983016449	0.725962752543538	0.999986237181954
Oarb_100565_c0_g1	16.1707051091271	0.293196902580311	0.531185960689434	0.551966588498999	0.580971244779179	0.999986237181954
Oarb_100565_c1_g1	15.0019105885963	-0.267350311392076	0.531569458851345	-0.502945206765239	0.615002796283222	0.999986237181954
Oarb_100576_c0_g1	23.8404554633211	0.363804885571586	0.510852336134313	0.712152729543229	0.476370205015185	0.999986237181954
Oarb_100583_c0_g2	104.224801194257	-0.421532931800344	0.34325639208742	-1.22804102565114	0.219431567647521	0.999986237181954
Oarb_100590_c0_g1	55.0392977372324	-0.747367632404551	1.28917519555863	-0.579725420547439	NA	NA
Oarb_100615_c0_g1	18.8899370733978	0.449720184132147	0.927286536035254	0.484985133133702	0.627686891388429	0.999986237181954
Oarb_100625_c1_g1	69.9119210010108	0.0474530806734131	0.414439021763497	0.114499548019135	0.908841804671697	0.999986237181954
Oarb_100625_c1_g2	3.7676324180817	0.808871582525966	1.34602159809542	0.600935069445017	0.547883234083182	0.999986237181954
Oarb_100638_c1_g1	86.2083657718197	0.51564460406632	0.604075014496256	0.853610216764752	0.39332099574281	0.999986237181954
Oarb_100649_c0_g1	9.67854384379938	0.525084448539022	0.574582323936279	0.913854162693063	0.360793481854983	0.999986237181954
Oarb_100655_c1_g1	13.6171708915595	0.0967587560231132	1.09599241741306	0.0882841473041385	0.929650838373145	0.999986237181954
Oarb_100663_c1_g2	15.0947791837083	0.826998602359935	1.32121057230071	0.625940042940943	0.531354268592234	0.999986237181954
Oarb_100663_c1_g3	24.3232455648364	0.0373606774308439	0.977123347585146	0.0382353748103315	0.969500016487406	0.999986237181954
Oarb_100665_c2_g1	19.8170559696449	0.341688433370979	0.810330058304247	0.421665751960405	0.673269005805897	0.999986237181954
Oarb_100670_c0_g1	19.5604777251414	0.100790996736919	0.594362988918911	0.169578184739006	0.86534188009694	0.999986237181954
Oarb_100674_c0_g1	6.91687910449704	-0.29816116344282	0.750895865398313	-0.397073918211895	0.691312952539627	0.999986237181954
Oarb_100676_c1_g1	61.9756378521246	0.872628952216373	0.895087216380344	0.974909412453917	0.329605196760294	0.999986237181954
Oarb_100678_c1_g1	14.7413976154424	0.142054472254961	1.00439720307914	0.141432564546646	0.88752823003547	0.999986237181954
Oarb_100698_c1_g1	47.4030199466643	-0.173730826062035	0.478712220304299	-0.362912870600213	0.716669971946347	0.999986237181954
Oarb_100700_c1_g1	44.2487212811893	0.491993496822335	0.742065349334039	0.663005619739382	0.507326954891719	0.999986237181954
Oarb_100702_c0_g1	32.5043683984014	-0.649785125801734	0.625053503471126	-1.03956720855617	0.298541018226269	0.999986237181954
Oarb_100708_c0_g1	7.45782730137276	0.441485615806346	0.941360107023879	0.468986961006992	0.639078956138945	0.999986237181954
Oarb_100719_c3_g1	21.5702399650243	0.205662951723406	0.582995545669478	0.352769336320116	0.724261373765786	0.999986237181954
Oarb_100728_c0_g1	209.724756652218	-0.486965357685812	0.276890119625633	-1.75869532052718	0.0786292726407818	0.999986237181954
Oarb_100734_c0_g1	70.868087523386	-0.275642278492054	0.438468921549675	-0.628647242586442	0.529580024330008	0.999986237181954
Oarb_100735_c0_g1	212.042604498836	-0.178967867994258	0.29446845196451	-0.607765846562836	0.543342784099841	0.999986237181954
Oarb_100747_c0_g1	23.089169534796	-0.321031139927249	1.23442629044019	-0.260065054036375	0.794813593501032	0.999986237181954
Oarb_100766_c0_g1	7.51369675041424	-1.03224735250857	0.652563116825781	-1.58183526756717	0.113687181597843	0.999986237181954
Oarb_100767_c0_g1	6.59383586151023	-0.52112198691366	1.02343483206027	-0.50918922298608	0.610619596392122	0.999986237181954
Oarb_100790_c0_g1	33.9278111041581	0.61749219875805	0.581004644160489	1.06280079679963	0.287872298122072	0.999986237181954
Oarb_100790_c1_g2	10.6029953308328	-0.128992662866519	0.906817511546642	-0.142247653165093	0.886884392671616	0.999986237181954
Oarb_100791_c0_g1	9.42461430505118	-0.700803901594431	0.578785324763213	-1.21081836669086	0.225965024428797	0.999986237181954
Oarb_100795_c2_g3	42.6605387543828	-0.239721583981057	0.542555344536262	-0.441838028866813	0.658606417494202	0.999986237181954
Oarb_100799_c0_g1	10.0255610715724	-0.0444027236733965	0.789949383309764	-0.056209580780171	0.955174848872531	0.999986237181954
Oarb_100800_c0_g1	39.5199225767413	0.527218879517525	0.778635356932041	0.677106266526168	0.498338533233793	0.999986237181954
Oarb_100804_c1_g1	37.5848402328077	0.678593474274031	0.568147724231804	1.19439618488583	0.232323028495044	0.999986237181954
Oarb_100812_c0_g1	5.42164976499323	-0.574353591561269	0.773288924577808	-0.742741261779805	0.457638343443019	0.999986237181954
Oarb_100813_c1_g1	62.9564001195797	0.624763337111019	0.502372664374576	1.24362526350595	0.21363751368975	0.999986237181954
Oarb_100827_c0_g1	107.998682284911	-0.0141292923369826	0.679358867738612	-0.0207979802839917	0.983406808891495	0.999986237181954
Oarb_100828_c1_g1	39.6992189905535	-0.02326861868029	0.424857456565069	-0.0547680600180928	0.956323246608209	0.999986237181954
Oarb_100831_c0_g1	6.93026190571475	-0.0175026859449329	0.779752060929635	-0.0224464760299138	0.982091807167366	0.999986237181954
Oarb_100839_c1_g1	174.080954250941	-0.204267668456037	0.770278891448778	-0.265186636585406	0.790865688947466	0.999986237181954
Oarb_100844_c1_g1	236.518825404956	0.131662551168876	0.42422074907626	0.310363298955958	0.756284700243264	0.999986237181954
Oarb_100850_c0_g1	61.4636633443211	0.255574977581007	0.355886300374825	0.718136599559553	0.472673065223683	0.999986237181954
Oarb_100852_c0_g1	23.7597760799219	-0.537347777331586	0.646384255224985	-0.831313221180725	0.405796707601585	0.999986237181954
Oarb_100852_c1_g1	10.3212935489242	-0.214949308534252	0.574972665854392	-0.373842656006688	0.708521381787718	0.999986237181954
Oarb_100857_c0_g3	50.0020664994225	-0.337137607641842	0.311956868294962	-1.08071865666721	0.279822281522969	0.999986237181954
Oarb_100858_c0_g1	37.5232716621701	0.0984508411208959	0.627808200503998	0.156816749194835	0.875389272223539	0.999986237181954
Oarb_100858_c0_g2	6.98752646197123	0.120920162258705	0.958608530698455	0.126141337559974	0.89962004614815	0.999986237181954
Oarb_100864_c0_g1	14.4162382432773	0.301174619284745	0.8934561996828	0.337089405604517	0.73604950364595	0.999986237181954
Oarb_100866_c2_g1	223.491196655193	0.115913289303388	0.184493935030672	0.628276963598385	0.529822519812103	0.999986237181954
Oarb_100867_c0_g1	14.4111115734627	0.64563159694213	1.26950403374156	0.50856994525593	0.6110537000148	0.999986237181954
Oarb_100868_c0_g1	57.5186159316834	-0.153730748843756	0.917958778284157	-0.16747020942608	0.867000085913483	0.999986237181954
Oarb_100872_c2_g1	44.9766103445615	-0.0783527866952091	0.728347722773691	-0.107576071490725	0.914331979001534	0.999986237181954
Oarb_100874_c1_g1	13.818380933416	-0.868528735960602	0.557529290299947	-1.55781723233472	0.119276579836347	0.999986237181954
Oarb_100875_c0_g1	31.3356808121822	-0.379428962110507	0.36355969996389	-1.04364967334992	0.296647501964861	0.999986237181954
Oarb_100883_c0_g2	55.1185791810408	-0.051709668572952	0.578917969896768	-0.0893212359294579	0.928826617691458	0.999986237181954
Oarb_100884_c0_g1	40.6311554724869	-0.10928658124853	0.336513455263681	-0.324761401183488	0.745361659741532	0.999986237181954
Oarb_100889_c0_g1	43.2707571661392	0.311972698485719	0.609543460582408	0.511813707569982	0.608781395917939	0.999986237181954
Oarb_100889_c0_g2	11.9212159419649	-0.68138600831179	0.591781994885573	-1.15141388923727	0.249562002499975	0.999986237181954
Oarb_100911_c0_g1	74.5934561849623	0.30646647587397	0.395405088382787	0.775069630811839	0.438298515659807	0.999986237181954
Oarb_100915_c0_g1	7.04376534971307	-1.43422444684554	2.31976069547111	-0.618263965608862	NA	NA
Oarb_100920_c0_g1	74.122902543621	-0.00103620728213873	0.58843219801559	-0.00176096292084832	0.99859495559948	0.999986237181954
Oarb_100924_c0_g1	5.65812321386048	-1.10189902898014	0.806610147510139	-1.36608624672216	0.171911894535388	0.999986237181954
Oarb_100944_c0_g1	7.72956216649564	0.206649517608208	1.03241163890725	0.20016194105186	0.841353931442967	0.999986237181954
Oarb_100947_c0_g1	44.6343456910176	-0.0213415290344663	0.48735444218092	-0.0437905704500457	0.965071343566208	0.999986237181954
Oarb_100963_c0_g1	104.838569187047	-0.163259432972677	0.493278669534334	-0.330967955956412	0.74066869020218	0.999986237181954
Oarb_100967_c0_g1	5.25267573820341	-0.637712492174314	1.12556304311439	-0.566571989081829	0.571005010237487	0.999986237181954
Oarb_100970_c1_g1	385.633191245366	0.310567957257727	0.9950166070593	0.312123390759867	0.754946750647162	0.999986237181954
Oarb_100972_c0_g1	16.7508932066346	-0.39213577589178	0.41444028225586	-0.946181615738042	0.344055961340048	0.999986237181954
Oarb_100990_c1_g1	31.2061635834153	0.0991102526951738	0.597148619155311	0.165972505865238	0.868178587189919	0.999986237181954
Oarb_100990_c1_g2	11.982861174773	-0.367078854370015	1.05451332365588	-0.348102623395399	0.727763114217149	0.999986237181954
Oarb_100993_c0_g1	6.18057169470036	-0.163122081158931	0.643909079640432	-0.253330922511639	0.800012502552289	0.999986237181954
Oarb_100993_c0_g2	4.07027900232459	-1.91900878617378	0.9339932294531	-2.05462815538552	0.0399149340539956	0.999986237181954
Oarb_100998_c0_g1	24.5582949396802	-0.443988960172032	0.646168098760411	-0.687110615679985	0.492013025101562	0.999986237181954
Oarb_100998_c1_g1	23.026309354481	-0.182218844338653	0.6553123352991	-0.278064114656844	0.780963142164539	0.999986237181954
Oarb_101008_c0_g1	15.6874507060853	0.335962984239161	1.52147938970776	0.220813365275813	0.825237756453945	0.999986237181954
Oarb_101052_c0_g1	14.5253964579975	-0.0725122730174305	0.523953107649249	-0.138394585238289	0.889928576193142	0.999986237181954
Oarb_101055_c0_g1	5.75479479066049	-0.340951537593255	0.770762733502867	-0.442356023161293	0.658231596720159	0.999986237181954
Oarb_101063_c0_g1	6.96729861841003	0.274867153284851	0.674848767483	0.40730185269513	0.683786302222654	0.999986237181954
Oarb_101066_c0_g1	131.334652821917	-0.0958609117773518	0.778576448025375	-0.123123313093369	0.902009450554872	0.999986237181954
Oarb_101069_c1_g1	121.585401267811	0.377058281903741	0.608139281884817	0.620019612505736	0.535244874771834	0.999986237181954
Oarb_101077_c0_g1	238.224901122256	-0.402320428715232	0.367138972553741	-1.09582599176758	0.273154931596943	0.999986237181954
Oarb_101079_c1_g1	5.18616870507918	-1.1710345883269	1.02594309097931	-1.1414225590321	0.25369412137289	0.999986237181954
Oarb_101082_c0_g1	5.51947056141789	-0.806299745929158	0.669154583524497	-1.20495288500051	0.228221490876778	0.999986237181954
Oarb_101085_c1_g2	111.448809377927	0.485770487711784	0.531775545371487	0.913487827599207	0.360986032608625	0.999986237181954
Oarb_101089_c0_g1	23.2771445487784	0.489469102690249	0.840647125008596	0.58225275282449	0.560396444975765	0.999986237181954
Oarb_101108_c0_g1	39.3629371364938	-0.301015155849093	1.44571682683467	-0.208211698350465	0.835063674791042	0.999986237181954
Oarb_101110_c0_g1	85.0335367028618	-0.160166056947069	0.454642946974623	-0.352289764996638	0.724620963130093	0.999986237181954
Oarb_101111_c0_g2	210.876059887783	-0.550228886521936	0.895239523190014	-0.614616392897066	0.538808085883509	0.999986237181954
Oarb_101117_c2_g1	20.8901326820637	0.453176298374327	0.598952782727373	0.756614396732173	0.449280913607141	0.999986237181954
Oarb_101119_c0_g1	80.6550462869988	-0.287980479980767	0.457852798814833	-0.628980494880044	0.529361825863519	0.999986237181954
Oarb_101124_c0_g1	193.603277863884	0.139848477370216	0.478245664551839	0.292419749379783	0.76996570997702	0.999986237181954
Oarb_101132_c1_g1	30.8478138524229	-0.108092947451065	0.740686298872722	-0.145936204862404	0.883971750193318	0.999986237181954
Oarb_101141_c0_g1	40.0530728735973	-0.43730135909778	0.536536411281117	-0.815045074114564	0.415046509788326	0.999986237181954
Oarb_101155_c1_g1	29.6318533158641	0.573444373825614	0.49556777449542	1.15714621357187	0.247212628345639	0.999986237181954
Oarb_101155_c2_g1	68.5864608840792	0.189850808803859	0.362279775852596	0.524044734092761	0.600247426268929	0.999986237181954
Oarb_101157_c0_g2	53.4439569407668	-0.174808856578151	0.516422357654067	-0.338499784115173	0.734986589749659	0.999986237181954
Oarb_101158_c1_g1	112.559086527406	-0.293326988426237	0.591086388695193	-0.496250622643752	0.619717598970368	0.999986237181954
