genes,signedlogP
Oarb_100001_c0_g1,0.712443909501301
Oarb_100009_c0_g1,-0.270393279333012
Oarb_100012_c0_g1,-0.661079343503415
Oarb_100015_c0_g1,-1.85130487931289
Oarb_100023_c0_g1,2.03995643217201
Oarb_100037_c0_g1,1.09658171239014
Oarb_100039_c1_g2,0.170830400984101
Oarb_100054_c0_g1,0.345011067662049
Oarb_100054_c2_g1,29.6547716732039
Oarb_100054_c2_g4,40.6569223963061
Oarb_100054_c2_g6,30.0633812317948
Oarb_100058_c0_g1,-0.854729650575125
Oarb_100059_c0_g1,0.0305833214343035
Oarb_100078_c0_g1,0.697359528979085
Oarb_100106_c0_g1,0.153649107509534
Oarb_100107_c0_g1,-0.189408975315011
Oarb_100115_c0_g1,-0.0503576379354393
Oarb_100118_c0_g1,2.96628284157715
Oarb_100120_c1_g1,-0.985164744713099
Oarb_100138_c0_g1,0.714320015903151
Oarb_100145_c0_g3,-3.66252416143756
Oarb_100172_c0_g1,-3.41083197076079
Oarb_100175_c1_g1,0.00518763559707171
Oarb_100175_c1_g2,-0.521071522551917
Oarb_100181_c0_g1,-0.168169046733314
Oarb_100181_c1_g1,-0.231705764296516
Oarb_100183_c0_g1,0.590367739926072
Oarb_100188_c0_g1,-0.422762135798115
Oarb_100193_c0_g1,0.289243193515264
Oarb_100202_c0_g1,1.00120411467099
Oarb_100214_c0_g1,-0.67256845890925
Oarb_100218_c0_g1,0.258843718014421
Oarb_100222_c0_g1,0.487276652642522
Oarb_100229_c0_g1,-0.0561412261235919
Oarb_100239_c0_g1,0.0449463172094548
Oarb_100248_c1_g1,2.05899648881902
Oarb_100254_c0_g1,0.863119824580806
Oarb_100266_c0_g1,-1.15668823101182
Oarb_100268_c0_g1,1.01559682165624
Oarb_100277_c0_g1,-0.178924619178518
Oarb_100283_c0_g1,0.913617849556377
Oarb_100298_c1_g2,0.526206796152282
Oarb_100302_c1_g1,-0.592059491506961
Oarb_100314_c0_g1,-0.358196508695071
Oarb_100328_c1_g1,0.608779572329234
Oarb_100337_c0_g1,-0.377700429372053
Oarb_100343_c0_g1,-0.2180417106735
Oarb_100352_c0_g1,0.605221199000733
Oarb_100364_c0_g1,0.657657476851981
Oarb_100389_c0_g1,-1.58987453167819
Oarb_100397_c0_g1,1.6809255237597
Oarb_100414_c0_g1,-0.301936844407691
Oarb_100457_c0_g1,0.306444380745851
Oarb_100462_c0_g1,-0.0107408805765883
Oarb_100465_c0_g1,0.207493578340754
Oarb_100473_c0_g1,0.0627744909757705
Oarb_100478_c0_g1,0.165480915890471
Oarb_100484_c0_g1,-0.185900932653537
Oarb_100494_c2_g1,0.437170982013703
Oarb_100496_c0_g1,-1.70818658096556
Oarb_100497_c0_g1,0.205954729936634
Oarb_100499_c0_g5,-0.0350575866629705
Oarb_100510_c0_g1,-0.386816382767211
Oarb_100516_c0_g1,-0.285377995474841
Oarb_100516_c1_g2,-0.898395945314162
Oarb_100535_c0_g1,0.121944510377932
Oarb_100544_c0_g2,1.44889640579848
Oarb_100545_c0_g1,0.621483680230228
Oarb_100547_c0_g1,-0.0922010631355272
Oarb_100551_c0_g1,0.722153343537211
Oarb_100562_c0_g1,-0.0941635846470747
Oarb_100563_c0_g1,0.598548901215086
Oarb_100565_c0_g1,0.606202208359395
Oarb_100565_c1_g1,-0.413621983490255
Oarb_100576_c0_g1,0.417037402518371
Oarb_100583_c0_g2,-2.54741161368841
Oarb_100590_c0_g1,2.35878041447956
Oarb_100615_c0_g1,0.883032728087848
Oarb_100625_c1_g1,0.111981516975732
Oarb_100625_c1_g2,0.375037284758958
Oarb_100638_c1_g1,0.751481473354739
Oarb_100649_c0_g1,1.05073562175486
Oarb_100655_c1_g1,0.370361951328692
Oarb_100663_c1_g2,1.05551458501807
Oarb_100663_c1_g3,0.14742396270413
Oarb_100665_c2_g1,0.347250436675209
Oarb_100670_c0_g1,0.350943012713888
Oarb_100674_c0_g1,-0.856323574413705
Oarb_100676_c1_g1,0.304702704261456
Oarb_100678_c1_g1,0.406150156550018
Oarb_100698_c1_g1,-0.566268501638967
Oarb_100700_c1_g1,1.11818172799359
Oarb_100702_c0_g1,-0.803321141498694
Oarb_100708_c0_g1,1.4156126549032
Oarb_100719_c3_g1,0.808493561984575
Oarb_100728_c0_g1,-3.26051441629397
Oarb_100734_c0_g1,-1.08462596313737
Oarb_100735_c0_g1,-1.01836999835659
Oarb_100747_c0_g1,-0.0147868778239503
Oarb_100766_c0_g1,-1.96998074660327
Oarb_100767_c0_g1,-1.63892367017226
Oarb_100790_c0_g1,1.77581505026849
Oarb_100790_c1_g2,-0.475380050288093
Oarb_100791_c0_g1,-1.40436975072999
Oarb_100795_c2_g3,-1.08776934512459
Oarb_100799_c0_g1,0.576749471260869
Oarb_100800_c0_g1,0.491502419727445
Oarb_100804_c1_g1,1.90704338974415
Oarb_100812_c0_g1,-0.661298799153542
Oarb_100813_c1_g1,1.7002224670501
Oarb_100827_c0_g1,0.893667552594957
Oarb_100828_c1_g1,-0.14261878960566
Oarb_100831_c0_g1,-0.0766093689622097
Oarb_100839_c1_g1,-1.68321916334226
Oarb_100844_c1_g1,1.24692515240807
Oarb_100850_c0_g1,0.723687048911032
Oarb_100852_c0_g1,-1.72298842518105
Oarb_100852_c1_g1,-0.493789582427609
Oarb_100857_c0_g3,-1.15441393034867
Oarb_100858_c0_g1,-0.045545105285926
